About,معلومات عن النظام,
Account Paid From,حساب السداد من,
Account Paid To,الحساب المدفوع إليه,
Account: {0} is not permitted under Payment Entry,الحساب: {0} غير مسموح به بموجب قيد السداد,
Accounts,الحسابات,
Accounts Manager,مدير الحسابات,
Accounts User,مستخدم الحسابات,
Amended From,معدل من,
Amount,المبلغ,
Apps,التطبيقات,
Brand,العلامة التجارية,
Closed,مغلق,
Company,الشركة,
Completed,تم الإنتهاء,
Custom Remarks,ملاحظات مخصصة,
Customer,العميل,
Customer Name,اسم العميل,
Designation,تعيين,
Details,التفاصيل,
Documentation,الوثائق,
Draft,مسودة,
Expense Account,حساب المصروف,
From Date,من تاريخ,
Fully Billed,تمت الفوترة كليا,
Goal,الهدف,
Goal Template,نموذج الاهداف,
Goals,الأهداف,
HR Manager,مدير الموارد البشرية,
Income Account,حساب الدخل,
Item Code,رمز الصنف,
Item Name,اسم الصنف,
Keyboard Shortcuts,اختصارات لوحة المفاتيح,
Logout,خروج,
More Information,المزيد من المعلومات,
My Profile,ملفي التعريفي,
My Settings,إعداداتي,
Naming Series,سلسلة التسمية,
Not Billed,غير مفوتر,
Notes,ملاحظات,
Open,مفتوح,
Paid Amount,المبلغ المدفوع,
Partly Billed,تمت الفوترة جزئيا,
Party Type is mandatory,يجب تحديد نوع الجهة,
Party is mandatory,يجب إدخال الجهة,
Posting Date,تاريخ الترحيل,
Production Year,سنة الإنتاج,
Quantity Mismatch,الكمية غير متطابقة,
Reason,سبب,
Reject,رفض,
Reload,تحديث,
Remarks,ملاحظات,
Sales Person,موظف المبيعات,
Send,إرسال,
Sender,مرسل,
Series,الرقم التسلسلي,
Session Defaults,الجلسة الافتراضية,
Submit,تسجيل,
System Manager,مدير النظام,
Target,الهدف,
To Date,إلى تاريخ,
Toggle Full Width,عرض بالحجم الكامل,
Toggle Theme,تبديل المظهر,
Type of Payment,نوع السداد,
View Website,عرض الموقع الإلكتروني,
Workflow State,حالة سير العمل,
Goal Template, نموذج الاهداف,
KRA, محاور الاداء الرئيسية,
List View,عرض القائمة,
KRA Template,نموذج محاور الاداء,
KRA Group,مجموعة محاور الاداء,
Appraisal Cycle,دورة التقييم,
Weightage (%), المقدار(%),
Weight (%),المقدار(%),
Goal Completion (%), مقدار انجاز الهدف(%),
Goal Score (weighted), مقدار انجاز الهدف (%),
View Goals, رؤية الاهداف,
Expected Target Amount,القيمة المستهدفة المتوقعة,
Actual Target Amount,القيمة المستهدفة الفعلية,
Direct Manager Email,بريد المدير المباشر,
Employee Email, بريد الموظف,
Goal Name in Arabic, الهدف باللغة العربية,
KRA Name in Arabic, محور الاداء باللغة العربية,
